,alternate_names,clean_name,description,name,shortcodes,url
314,['Mexican Flag Emoji'],Flag for Mexico,"The flag forÂ Mexico, which may show as the lettersÂ MXÂ on some platforms.",_Ÿ‡__Ÿ‡_ Flag for Mexico,[],http://emojipedia.org/flag-for-mexico/
315,['Nigerian Flag Emoji'],Flag for Nigeria,"The flag forÂ Nigeria, which may show as the lettersÂ NGÂ on some platforms.",_Ÿ‡__Ÿ‡¬ Flag for Nigeria,[],http://emojipedia.org/flag-for-nigeria/
316,['Polish Flag Emoji'],Flag for Poland,"The flag for Poland, which may show as the lettersÂ PLÂ on some platforms.",_Ÿ‡µ_Ÿ‡± Flag for Poland,[],http://emojipedia.org/flag-for-poland/
317,['Bruneian Flag Emoji'],Flag for Brunei,"The flag for Brunei Darussalam, which may show as the lettersÂ BNÂ on some platforms.",_Ÿ‡§_Ÿ‡_ Flag for Brunei,[],http://emojipedia.org/flag-for-brunei/
318,['Venezuelan Flag Emoji'],Flag for Venezuela,"The flag forÂ Venezuela, which may show as the lettersÂ VEÂ on some platforms.",_Ÿ‡»_Ÿ‡ª Flag for Venezuela,[],http://emojipedia.org/flag-for-venezuela/
319,"['Laughing Emoji', 'Laughing Crying Emoji', 'Laughing Tears Emoji', 'LOL Emoji']",Face With Tears of Joy,A laughing emojiÂ which atÂ small sizes is often mistaken for being tears of sadness.Â This emoji is laughing so much that it is crying tears of joy.,_Ÿ˜‚ Face With Tears of Joy,[':joy:'],http://emojipedia.org/face-with-tears-of-joy/
320,['Cook Islander Flag Emoji'],Flag for Cook Islands,"The flag for Cook Islands, which may show as the lettersÂ CKÂ on some platforms.",_Ÿ‡¨_Ÿ‡° Flag for Cook Islands,[],http://emojipedia.org/flag-for-cook-islands/
321,['North Korean Flag Emoji'],Flag for North Korea,"The flag forÂ North Korea, which may show as the lettersÂ KPÂ on some platforms.",_Ÿ‡°_Ÿ‡µ Flag for North Korea,[],http://emojipedia.org/flag-for-north-korea/
322,['Qatari Flag Emoji'],Flag for Qatar,"The flag for Qatar, which may show as the lettersÂ QAÂ on some platforms.",_Ÿ‡¶_Ÿ‡_ Flag for Qatar,[],http://emojipedia.org/flag-for-qatar/
323,['Bangladeshi Flag Emoji'],Flag for Bangladesh,"The flag for Bangladesh, which may show as the lettersÂ BDÂ on some platforms.",_Ÿ‡§_Ÿ‡© Flag for Bangladesh,[],http://emojipedia.org/flag-for-bangladesh/
324,['Taiwanese Flag Emoji'],Flag for Taiwan,"The flag forÂ Taiwan, which may show as the lettersÂ TWÂ on some platforms.",_Ÿ‡__Ÿ‡_ Flag for Taiwan,[],http://emojipedia.org/flag-for-taiwan/
325,[],Thanksgiving,,"_Ÿ_ƒThanksgiving",[],http://emojipedia.org/thanksgiving/
326,"['Deutsch Flag Emoji', 'German Flag Emoji', 'Regional Indicator Symbol Letters DE Emoji']",Flag for Germany,"The flag for Germany, which may show as the lettersÂ DEÂ on some platforms",_Ÿ‡©_Ÿ‡ª Flag for Germany,[':de:'],http://emojipedia.org/flag-for-germany/
327,"['Italian Flag Emoji', 'Regional Indicator Symbol Letters IT Emoji']",Flag for Italy,"The flag for Italy, which may show as the lettersÂ ITÂ on some platforms.",_Ÿ‡®_Ÿ‡_ Flag for Italy,[':it:'],http://emojipedia.org/flag-for-italy/
328,[],Dragon Boat Festival,,"_Ÿ‡¨_Ÿ‡_Dragon Boat Festival",[],http://emojipedia.org/dragon-boat-festival/
329,['Albanian Flag Emoji'],Flag for Albania,"The flag for Albania, which may show as the letters AL on some platforms.",_Ÿ‡__Ÿ‡± Flag for Albania,[],http://emojipedia.org/flag-for-albania/
330,"['Lao Flag Emoji', 'Laotian Flag Emoji']",Flag for Laos,"The flag forÂ Laos, which may show as the lettersÂ LAÂ on some platforms.",_Ÿ‡±_Ÿ‡_ Flag for Laos,[],http://emojipedia.org/flag-for-laos/
331,['Jersey Flag Emoji'],Flag for Jersey,"The flag forÂ Jersey, which may show as the lettersÂ JEÂ on some platforms.",_Ÿ‡¯_Ÿ‡ª Flag for Jersey,[],http://emojipedia.org/flag-for-jersey/
332,['Omani Flag Emoji'],Flag for Oman,"The flag forÂ Oman, which may show as the lettersÂ OMÂ on some platforms.",_Ÿ‡´_Ÿ‡_ Flag for Oman,[],http://emojipedia.org/flag-for-oman/
333,['MonÃ©gasque Flag Emoji'],Flag for Monaco,"The flag forÂ Monaco, which may show as the lettersÂ MCÂ on some platforms.",_Ÿ‡__Ÿ‡¨ Flag for Monaco,[],http://emojipedia.org/flag-for-monaco/
334,['Panamanian Flag Emoji'],Flag for Panama,"The flag for Panama, which may show as the lettersÂ PAÂ on some platforms.",_Ÿ‡µ_Ÿ‡_ Flag for Panama,[],http://emojipedia.org/flag-for-panama/
335,['Bulgarian Flag Emoji'],Flag for Bulgaria,"The flag for Bulgaria, which may show as the lettersÂ BGÂ on some platforms.",_Ÿ‡§_Ÿ‡¬ Flag for Bulgaria,[],http://emojipedia.org/flag-for-bulgaria/
336,['Kiwi Flag Emoji'],Flag for New Zealand,"The flag forÂ New Zealand, which may show as the lettersÂ NZÂ on some platforms.",_Ÿ‡__Ÿ‡¿ Flag for New Zealand,[],http://emojipedia.org/flag-for-new-zealand/
337,"['Papua New Guinean Flag Emoji', 'PNG Flag Emoji']",Flag for Papua New Guinea,"The flag for Papua New Guinea, which may show as the lettersÂ PGÂ on some platforms.",_Ÿ‡µ_Ÿ‡¬ Flag for Papua New Guinea,[],http://emojipedia.org/flag-for-papua-new-guinea/
338,[],Valentineâ€™s Day,,"_Ÿ’˜Valentineâ€™s Day",[],http://emojipedia.org/valentines-day/
339,"['Heart Emoji', 'Love Heart Emoji', 'Red Heart Emoji']",Heavy Black Heart,"A classic red love heart emoji, used to express love. Despite the name â€œHeavy Black Heartâ€ù, this character appears red on all platforms when displayed with emoji presentation. Not to be confused with the black heart emoji. See the glossary for information on the termÂ black in unicode character names.",âù_ï¸è Heavy Black Heart,[':heart:'],http://emojipedia.org/heavy-black-heart/
340,[],Bastille Day,,"_Ÿ‡«_Ÿ‡·Bastille Day",[],http://emojipedia.org/bastille-day/
341,['Czech Flag Emoji'],Flag for Czech Republic,"The flag for Czech Republic, which may show as the lettersÂ CZÂ on some platforms.",_Ÿ‡¨_Ÿ‡¿ Flag for Czech Republic,[],http://emojipedia.org/flag-for-czech-republic/
342,"['Japanese Flag Emoji', 'Regional Indicator Symbol Letters JP Emoji']",Flag for Japan,"The flag for Japan, which may show as the lettersÂ JPÂ on some platforms.",_Ÿ‡¯_Ÿ‡µ Flag for Japan,[':jp:'],http://emojipedia.org/flag-for-japan/
343,['Greek Flag Emoji'],Flag for Greece,"The flag for Greece, which may show as the lettersÂ GRÂ on some platforms.",_Ÿ‡¬_Ÿ‡· Flag for Greece,[],http://emojipedia.org/flag-for-greece/
344,['British Virgin Islander Flag Emoji'],Flag for British Virgin Islands,"The flag for British Virgin Islands, which may show as the lettersÂ VGÂ on some platforms.",_Ÿ‡»_Ÿ‡¬ Flag for British Virgin Islands,[],http://emojipedia.org/flag-for-british-virgin-islands/
345,['Cape Verdian Flag Emoji'],Flag for Cape Verde,"The flag for Cape Verde, which may show as the lettersÂ CVÂ on some platforms.",_Ÿ‡¨_Ÿ‡» Flag for Cape Verde,[],http://emojipedia.org/flag-for-cape-verde/
346,['Andorran Flag Emoji'],Flag for Andorra,"The flag for Andorra, which may show as the letters AD on some platforms.",_Ÿ‡__Ÿ‡© Flag for Andorra,[],http://emojipedia.org/flag-for-andorra/
347,['Cuban Flag Emoji'],Flag for Cuba,"The flag for Cuba, which may show as the lettersÂ CUÂ on some platforms.",_Ÿ‡¨_Ÿ‡º Flag for Cuba,[],http://emojipedia.org/flag-for-cuba/
348,['Samoan Flag Emoji'],Flag for Samoa,"The flag for Samoa, which may show as the lettersÂ WSÂ on some platforms.",_Ÿ‡__Ÿ‡¸ Flag for Samoa,[],http://emojipedia.org/flag-for-samoa/
349,['Malaysian Flag Emoji'],Flag for Malaysia,"The flag forÂ Malaysia, which may show as the lettersÂ MYÂ on some platforms.",_Ÿ‡__Ÿ‡_ Flag for Malaysia,[],http://emojipedia.org/flag-for-malaysia/
350,['Faroe Islander Flag Emoji'],Flag for Faroe Islands,"The flag for Faroe Islands, which may show as the lettersÂ FOÂ on some platforms.",_Ÿ‡«_Ÿ‡´ Flag for Faroe Islands,[],http://emojipedia.org/flag-for-faroe-islands/
351,"['Equatoguinean Flag Emoji', 'Equatorial Guinean Flag Emoji']",Flag for Equatorial Guinea,"The flag for Equatorial Guinea, which may show as the lettersÂ GQÂ on some platforms.",_Ÿ‡¬_Ÿ‡¶ Flag for Equatorial Guinea,[],http://emojipedia.org/flag-for-equatorial-guinea/
352,['Malawian Flag Emoji'],Flag for Malawi,"The flag forÂ Malawi, which may show as the lettersÂ MWÂ on some platforms.",_Ÿ‡__Ÿ‡_ Flag for Malawi,[],http://emojipedia.org/flag-for-malawi/
353,[],Flag for U.S. Outlying Islands,"The flag for U.S. Outlying Islands, which may show as the lettersÂ UMÂ on some platforms.Â This is the same flag as theÂ United States.",_Ÿ‡º_Ÿ‡_ Flag for U.S. Outlying Islands,[],http://emojipedia.org/flag-for-us-outlying-islands/
354,[],Flag for Bouvet Island,"The flag for Bouvet Island, which may show as the lettersÂ BVÂ on some platforms.Â This is the same flag as Norway.",_Ÿ‡§_Ÿ‡» Flag for Bouvet Island,[],http://emojipedia.org/flag-for-bouvet-island/
355,"['Chinese Flag Emoji', 'Regional Indicator Symbol Letters CN Emoji']",Flag for China,"The flag for China, which may show as the lettersÂ CNÂ on some platforms.",_Ÿ‡¨_Ÿ‡_ Flag for China,[':cn:'],http://emojipedia.org/flag-for-china/
356,[],Chinese New Year,,"_Ÿê‰Chinese New Year",[],http://emojipedia.org/chinese-new-year/
357,['Danish Flag Emoji'],Flag for Denmark,"The flag for Denmark, which may show as the lettersÂ DKÂ on some platforms.",_Ÿ‡©_Ÿ‡° Flag for Denmark,[],http://emojipedia.org/flag-for-denmark/
358,['Thai Flag Emoji'],Flag for Thailand,"The flag forÂ Thailand, which may show as the lettersÂ THÂ on some platforms.",_Ÿ‡__Ÿ‡_ Flag for Thailand,[],http://emojipedia.org/flag-for-thailand/
359,[],Summer,,"â˜€Summer",[],http://emojipedia.org/summer/
360,[],Flag for St. Lucia,"The Flag for St. Lucia emoji was approved as part of Unicode 6.0 in 2010.Copy and paste this emoji using the text field below:",_Ÿ‡±_Ÿ‡¨ Flag for St. Lucia,[],http://emojipedia.org/flag-for-st-lucia/
361,['Bahamian Flag Emoji'],Flag for Bahamas,"The flag for Bahamas, which may show as the lettersÂ BSÂ on some platforms.",_Ÿ‡§_Ÿ‡¸ Flag for Bahamas,[],http://emojipedia.org/flag-for-bahamas/
362,['Christmas Island Flag Emoji'],Flag for Christmas Island,"The flag for Christmas Island, which may show as the lettersÂ CXÂ on some platforms.",_Ÿ‡¨_Ÿ‡_ Flag for Christmas Island,[],http://emojipedia.org/flag-for-christmas-island/
363,"['Uzbek Flag Emoji', 'Uzbekistani Flag Emoji']",Flag for Uzbekistan,"The flag forÂ Uzbekistan, which may show as the lettersÂ UZÂ on some platforms.",_Ÿ‡º_Ÿ‡¿ Flag for Uzbekistan,[],http://emojipedia.org/flag-for-uzbekistan/
364,"['Burmese Flag Emoji', 'Flag For Burma Emoji', 'Myanmarese Flag Emoji']",Flag for Myanmar,"The flag forÂ Myanmar, which may show as the lettersÂ MMÂ on some platforms.",_Ÿ‡__Ÿ‡_ Flag for Myanmar,[],http://emojipedia.org/flag-for-myanmar/
365,['Niuean Flag Emoji'],Flag for Niue,"The flag forÂ Niue, which may show as the lettersÂ NUÂ on some platforms.",_Ÿ‡__Ÿ‡º Flag for Niue,[],http://emojipedia.org/flag-for-niue/
366,[],Flag for Tristan Da Cunha,"The flag for Tristan da Cunha, which may show as the letters TA on some platforms.Â This same flag is used for Ascension Island andÂ St. Helena.",_Ÿ‡__Ÿ‡_ Flag for Tristan Da Cunha,[],http://emojipedia.org/flag-for-tristan-da-cunha/
367,[],Emoji Movie,,"_Ÿ_¥Emoji Movie",[],http://emojipedia.org/emoji-movie/
368,['Central African Flag Emoji'],Flag for Central African Republic,"The flag for Central African Republic, which may show as the lettersÂ CFÂ on some platforms.",_Ÿ‡¨_Ÿ‡« Flag for Central African Republic,[],http://emojipedia.org/flag-for-central-african-republic/
369,['Malian Flag Emoji'],Flag for Mali,"The flag forÂ Mali, which may show as the lettersÂ MLÂ on some platforms.",_Ÿ‡__Ÿ‡± Flag for Mali,[],http://emojipedia.org/flag-for-mali/
370,[],Birthday,,"_Ÿ_‚Birthday",[],http://emojipedia.org/birthday/
371,['Indonesian Flag Emoji'],Flag for Indonesia,"The flag for Indonesia, which may show as the lettersÂ IDÂ on some platforms.",_Ÿ‡®_Ÿ‡© Flag for Indonesia,[],http://emojipedia.org/flag-for-indonesia/
372,['South African Flag Emoji'],Flag for South Africa,"The flag forÂ South Africa, which may show as the lettersÂ ZAÂ on some platforms.",_Ÿ‡¿_Ÿ‡_ Flag for South Africa,[],http://emojipedia.org/flag-for-south-africa/
373,['Georgian Flag Emoji'],Flag for Georgia,"The flag for Georgia, which may show as the lettersÂ GEÂ on some platforms.",_Ÿ‡¬_Ÿ‡ª Flag for Georgia,[],http://emojipedia.org/flag-for-georgia/
374,['Seychellois Flag Emoji'],Flag for Seychelles,"The flag for Seychelles, which may show as the lettersÂ SCÂ on some platforms.",_Ÿ‡¸_Ÿ‡¨ Flag for Seychelles,[],http://emojipedia.org/flag-for-seychelles/
375,"['Flag Emoji', ""George's Cross Emoji""]",for England,"The flag for England, a country in the United Kingdom. MayÂ show as the letters GB-ENG or gbeng.",Flag for England,[],http://emojipedia.org/flag-for-england/
376,['British Indian Ocean Territory Flag Emoji'],Flag for British Indian Ocean Territory,"The flag forÂ British Indian Ocean Territory,Â which may show as the lettersÂ IOÂ on some platforms. The same flag is used for Diego Garcia.",_Ÿ‡®_Ÿ‡´ Flag for British Indian Ocean Territory,[],http://emojipedia.org/flag-for-british-indian-ocean-territory/
377,['Canadian Flag Emoji'],Flag for Canada,"The flag for Canada, which may show as the lettersÂ CAÂ on some platforms.",_Ÿ‡¨_Ÿ‡_ Flag for Canada,[],http://emojipedia.org/flag-for-canada/
378,['Zambian Flag Emoji'],Flag for Zambia,"The flag forÂ Zambia, which may show as the lettersÂ ZMÂ on some platforms.",_Ÿ‡¿_Ÿ‡_ Flag for Zambia,[],http://emojipedia.org/flag-for-zambia/
379,[],Graduation,,"_Ÿ_“Graduation",[],http://emojipedia.org/graduation/
380,[],Flag for Philippines,"The flag for Philippines, which may show as the lettersÂ PHÂ on some platforms.",_Ÿ‡µ_Ÿ‡_ Flag for Philippines,[],http://emojipedia.org/flag-for-philippines/
381,['Macanese Flag Emoji'],Flag for Macau,"The flag forÂ Macau, which may show as the lettersÂ MOÂ on some platforms.",_Ÿ‡__Ÿ‡´ Flag for Macau,[],http://emojipedia.org/flag-for-macau/
382,[],Easter,,"_Ÿê°Easter",[],http://emojipedia.org/easter/
383,['Guadeloupean Flag Emoji'],Flag for Guadeloupe,"The flag for Guadeloupe, which may show as the lettersÂ GPÂ on some platforms.",_Ÿ‡¬_Ÿ‡µ Flag for Guadeloupe,[],http://emojipedia.org/flag-for-guadeloupe/
384,[],Travel & Places,,"_ŸŒ‡Travel & Places",[],http://emojipedia.org/travel-places/
385,[],Cinco de Mayo,,"_Ÿ‡__Ÿ‡_Cinco de Mayo",[],http://emojipedia.org/cinco-de-mayo/
386,['French Polynesian Flag Emoji'],Flag for French Polynesia,"The flag for French Polynesia, which may show as the lettersÂ PFÂ on some platforms.",_Ÿ‡µ_Ÿ‡« Flag for French Polynesia,[],http://emojipedia.org/flag-for-french-polynesia/
387,"['Blow A Kiss Emoji', 'Blowing Kiss Emoji', 'Kissing Emoji']",Face Throwing a Kiss,An emoji face blowing aÂ kiss;Â but officially called â€œFace Throwing A Kissâ€ù.,_Ÿ˜˜ Face Throwing a Kiss,[':kissing_heart:'],http://emojipedia.org/face-throwing-a-kiss/
388,['Indian Flag Emoji'],Flag for India,"The flag for India, which may show as the lettersÂ INÂ on some platforms.",_Ÿ‡®_Ÿ‡_ Flag for India,[],http://emojipedia.org/flag-for-india/
389,['Syrian Flag Emoji'],Flag for Syria,"The flag forÂ Syria, which may show as the lettersÂ SYÂ on some platforms.",_Ÿ‡¸_Ÿ‡_ Flag for Syria,[],http://emojipedia.org/flag-for-syria/
390,['Tokelauan Flag Emoji'],Flag for Tokelau,"The flag forÂ Tokelau, which may show as the lettersÂ TKÂ on some platforms.",_Ÿ‡__Ÿ‡° Flag for Tokelau,[],http://emojipedia.org/flag-for-tokelau/
391,['Turkmen Flag Emoji'],Flag for Turkmenistan,"The flag forÂ Turkmenistan, which may show as the lettersÂ TMÂ on some platforms.",_Ÿ‡__Ÿ‡_ Flag for Turkmenistan,[],http://emojipedia.org/flag-for-turkmenistan/
392,['Azerbaijani Flag Emoji'],Flag for Azerbaijan,"The flag for Azerbaijan, which may show as the lettersÂ AZÂ on some platforms.",_Ÿ‡__Ÿ‡¿ Flag for Azerbaijan,[],http://emojipedia.org/flag-for-azerbaijan/
393,[],Flag for Ceuta & Melilla,"The flag for Ceuta, Melilla, which may show as the letters EA on some platforms. Uses the same flag as Spain.",_Ÿ‡ª_Ÿ‡_ Flag for Ceuta & Melilla,[],http://emojipedia.org/flag-for-ceuta-melilla/
394,['Kosovar Flag Emoji'],Flag for Kosovo,"The flag for Kosovo, which may show as the letters XK on some platforms.",_Ÿ‡__Ÿ‡° Flag for Kosovo,[],http://emojipedia.org/flag-for-kosovo/
395,['Montserratian Flag Emoji'],Flag for Montserrat,"The flag forÂ Montserrat, which may show as the lettersÂ MSÂ on some platforms.",_Ÿ‡__Ÿ‡¸ Flag for Montserrat,[],http://emojipedia.org/flag-for-montserrat/
396,['Peruvian Flag Emoji'],Flag for Peru,"The flag for Peru, which may show as the lettersÂ PEÂ on some platforms.",_Ÿ‡µ_Ÿ‡ª Flag for Peru,[],http://emojipedia.org/flag-for-peru/
397,['Palauan Flag Emoji'],Flag for Palau,"The flag forÂ Palau, which may show as the lettersÂ PWÂ on some platforms.",_Ÿ‡µ_Ÿ‡_ Flag for Palau,[],http://emojipedia.org/flag-for-palau/
398,['Austrian Flag Emoji'],Flag for Austria,"The flag for Austria, which may show as the lettersÂ ATÂ on some platforms.",_Ÿ‡__Ÿ‡_ Flag for Austria,[],http://emojipedia.org/flag-for-austria/
399,['Basotho Flag Emoji'],Flag for Lesotho,"The flag forÂ Lesotho, which may show as the lettersÂ LSÂ on some platforms.",_Ÿ‡±_Ÿ‡¸ Flag for Lesotho,[],http://emojipedia.org/flag-for-lesotho/
400,['Belarusian Flag Emoji'],Flag for Belarus,"The flag for Belarus, which may show as the lettersÂ BYÂ on some platforms.",_Ÿ‡§_Ÿ‡_ Flag for Belarus,[],http://emojipedia.org/flag-for-belarus/
401,[],Food & Drink,,"_Ÿç”Food & Drink",[],http://emojipedia.org/food-drink/
402,['Liberian Flag Emoji'],Flag for Liberia,"The flag forÂ Liberia, which may show as the lettersÂ LRÂ on some platforms.",_Ÿ‡±_Ÿ‡· Flag for Liberia,[],http://emojipedia.org/flag-for-liberia/
403,[],Motherâ€™s Day,,"_Ÿ‘©Motherâ€™s Day",[],http://emojipedia.org/mothers-day/
404,['Guinea-Bissau Flag Emoji'],Flag for Guinea-Bissau,"The flag for Guinea-Bissau, which may show as the lettersÂ GWÂ on some platforms.",_Ÿ‡¬_Ÿ‡_ Flag for Guinea-Bissau,[],http://emojipedia.org/flag-for-guinea-bissau/
405,[],Flag for Canary Islands,"The flag for Canary Islands, which may show as the letters IC on some platforms.",_Ÿ‡®_Ÿ‡¨ Flag for Canary Islands,[],http://emojipedia.org/flag-for-canary-islands/
406,['Nigerien Flag Emoji'],Flag for Niger,"The flag forÂ Niger, which may show as the lettersÂ NEÂ on some platforms.",_Ÿ‡__Ÿ‡ª Flag for Niger,[],http://emojipedia.org/flag-for-niger/
407,['Cameroonian Flag Emoji'],Flag for Cameroon,"The flag for Cameroon, which may show as the lettersÂ CMÂ on some platforms.",_Ÿ‡¨_Ÿ‡_ Flag for Cameroon,[],http://emojipedia.org/flag-for-cameroon/
408,['Costa Rican Flag Emoji'],Flag for Costa Rica,"The flag for Costa Rica, which may show as the lettersÂ CRÂ on some platforms.",_Ÿ‡¨_Ÿ‡· Flag for Costa Rica,[],http://emojipedia.org/flag-for-costa-rica/
409,['Haitian Flag Emoji'],Flag for Haiti,"The flag for Haiti, which may show as the lettersÂ HTÂ on some platforms.",_Ÿ‡__Ÿ‡_ Flag for Haiti,[],http://emojipedia.org/flag-for-haiti/
410,[],Hanukkah,,"_Ÿ•_Hanukkah",[],http://emojipedia.org/hanukkah/
411,['Falklander Flag Emoji'],Flag for Falkland Islands,"The flag forÂ Falkland Islands (Malvinas),Â which may show as the lettersÂ FKÂ on some platforms.",_Ÿ‡«_Ÿ‡° Flag for Falkland Islands,[],http://emojipedia.org/flag-for-falkland-islands/
412,[],Flag for Svalbard & Jan Mayen,"The flag for Svalbard & Jan Mayen, which may show as the lettersÂ SJÂ on some platforms.Â This is the same flag asÂ Norway.",_Ÿ‡¸_Ÿ‡¯ Flag for Svalbard & Jan Mayen,[],http://emojipedia.org/flag-for-svalbard-jan-mayen/
413,['Egyptian Flag Emoji'],Flag for Egypt,"The flag for Egypt, which may show as the lettersÂ EGÂ on some platforms.",_Ÿ‡ª_Ÿ‡¬ Flag for Egypt,[],http://emojipedia.org/flag-for-egypt/
414,[],Activity,,"â__Activity",[],http://emojipedia.org/activity/
415,['Yemeni Flag Emoji'],Flag for Yemen,"The flag forÂ Yemen, which may show as the lettersÂ YEÂ on some platforms.",_Ÿ‡__Ÿ‡ª Flag for Yemen,[],http://emojipedia.org/flag-for-yemen/
416,"['Dominican Flag Emoji', 'Dom Rep Flag Emoji']",Flag for Dominican Republic,"The flag for Dominican Republic, which may show as the lettersÂ DOÂ on some platforms.",_Ÿ‡©_Ÿ‡´ Flag for Dominican Republic,[],http://emojipedia.org/flag-for-dominican-republic/
417,[],World Emoji Day,,"_ŸŒ_World Emoji Day",[],http://emojipedia.org/world-emoji-day/
418,['Angolan Flag Emoji'],Flag for Angola,"The flag forÂ Angola, which may show as the letters A and O on some platforms.",_Ÿ‡__Ÿ‡´ Flag for Angola,[],http://emojipedia.org/flag-for-angola/
419,['Moldovan Flag Emoji'],Flag for Moldova,"The flag forÂ Moldova, which may show as the lettersÂ MDÂ on some platforms.",_Ÿ‡__Ÿ‡© Flag for Moldova,[],http://emojipedia.org/flag-for-moldova/
420,[],Flag for St. Pierre & Miquelon,"The Flag for St. Pierre & Miquelon emoji was approved as part of Unicode 6.0 in 2010.Copy and paste this emoji using the text field below:",_Ÿ‡µ_Ÿ‡_ Flag for St. Pierre & Miquelon,[],http://emojipedia.org/flag-for-st-pierre-miquelon/
421,"['Flirting Emoji', 'Sexual Face Emoji', 'Smug Face Emoji', 'Suggestive Smile Emoji']",Smirking Face,"A sly smile, often used with a sexual, or smug connotation. Not to be confused with the unamused face, which has similar eyes, but a displeased mouth.",_Ÿ˜è Smirking Face,[':smirk:'],http://emojipedia.org/smirking-face/
422,['Marshallese Flag Emoji'],Flag for Marshall Islands,"The flag forÂ Marshall Islands, which may show as the lettersÂ MHÂ on some platforms.",_Ÿ‡__Ÿ‡_ Flag for Marshall Islands,[],http://emojipedia.org/flag-for-marshall-islands/
423,[],Flag for South Georgia & South Sandwich Islands,"The Flag for South Georgia & South Sandwich Islands emoji was approved as part of Unicode 6.0 in 2010.Copy and paste this emoji using the text field below:",_Ÿ‡¬_Ÿ‡¸ Flag for South Georgia & South Sandwich Islands,[],http://emojipedia.org/flag-for-south-georgia-south-sandwich-islands/
424,['Ghanaian Flag Emoji'],Flag for Ghana,"The flag for Ghana, which may show as the lettersÂ GHÂ on some platforms.",_Ÿ‡¬_Ÿ‡_ Flag for Ghana,[],http://emojipedia.org/flag-for-ghana/
425,[],Black Friday,,"_Ÿ›çBlack Friday",[],http://emojipedia.org/black-friday/
426,['Finnish Flag Emoji'],Flag for Finland,"The flag for Finland, which may show as the lettersÂ FIÂ on some platforms.",_Ÿ‡«_Ÿ‡® Flag for Finland,[],http://emojipedia.org/flag-for-finland/
427,['Iranian Flag Emoji'],Flag for Iran,"The flag forÂ Iran, which may show as the lettersÂ IRÂ on some platforms.",_Ÿ‡®_Ÿ‡· Flag for Iran,[],http://emojipedia.org/flag-for-iran/
428,[],Super Bowl,,"_ŸèˆSuper Bowl",[],http://emojipedia.org/super-bowl/
429,[],Animals & Nature,,"_Ÿê»Animals & Nature",[],http://emojipedia.org/nature/
430,[],Objects,,"_Ÿ’¡Objects",[],http://emojipedia.org/objects/
431,[],Flag for Cocos Islands,"The Flag for Cocos Islands emoji was approved as part of Unicode 6.0 in 2010.Copy and paste this emoji using the text field below:",_Ÿ‡¨_Ÿ‡¨ Flag for Cocos Islands,[],http://emojipedia.org/flag-for-cocos-islands/
432,"['Djiboutian Flag Emoji', 'Djibouti Flag Emoji']",Flag for Djibouti,"The flag for Djibouti, which may show as the lettersÂ DJÂ on some platforms.",_Ÿ‡©_Ÿ‡¯ Flag for Djibouti,[],http://emojipedia.org/flag-for-djibouti/
433,"['Red Cross Emoji', 'Swiss Flag Emoji']",Flag for Switzerland,"The flag forÂ Switzerland, which may show as the lettersÂ CHÂ on some platforms.",_Ÿ‡¨_Ÿ‡_ Flag for Switzerland,[],http://emojipedia.org/flag-for-switzerland/
434,[],Flag for Clipperton Island,"The flag forÂ Clipperton Island, which may show as the letters CP on some platforms. Uses the same flag as France.",_Ÿ‡¨_Ÿ‡µ Flag for Clipperton Island,[],http://emojipedia.org/flag-for-clipperton-island/
435,"['Chamorro Flag Emoji', 'Guamanian Flag Emoji']",Flag for Guam,"The flag for Guam, which may show as the lettersÂ GUÂ on some platforms.",_Ÿ‡¬_Ÿ‡º Flag for Guam,[],http://emojipedia.org/flag-for-guam/
436,"['Martiniquais Flag Emoji', 'Snake Flag of Martinique Emoji']",Flag for Martinique,"The flag forÂ Martinique, which may show as the lettersÂ MQÂ on some platforms.",_Ÿ‡__Ÿ‡¶ Flag for Martinique,[],http://emojipedia.org/flag-for-martinique/
437,"['Bahrainian Flag Emoji', 'Bahrani Flag Emoji']",Flag for Bahrain,"The flag for Bahrain, which may show as the lettersÂ BHÂ on some platforms.",_Ÿ‡§_Ÿ‡_ Flag for Bahrain,[],http://emojipedia.org/flag-for-bahrain/
438,['Afghan Flag Emoji'],Flag for Afghanistan,"The flag forÂ Afghanistan, which may show as the letters AF on some platforms.",_Ÿ‡__Ÿ‡« Flag for Afghanistan,[],http://emojipedia.org/flag-for-afghanistan/
439,['Icelandic Flag Emoji'],Flag for Iceland,"The flag for Iceland, which may show as the lettersÂ ISÂ on some platforms.",_Ÿ‡®_Ÿ‡¸ Flag for Iceland,[],http://emojipedia.org/flag-for-iceland/
440,['Cambodian Flag Emoji'],Flag for Cambodia,"The flag for Cambodia, which may show as the lettersÂ KHÂ on some platforms.",_Ÿ‡°_Ÿ‡_ Flag for Cambodia,[],http://emojipedia.org/flag-for-cambodia/
441,['Lithuanian Flag Emoji'],Flag for Lithuania,"The flag forÂ Lithuania, which may show as the lettersÂ LTÂ on some platforms.",_Ÿ‡±_Ÿ‡_ Flag for Lithuania,[],http://emojipedia.org/flag-for-lithuania/
442,['Libyan Flag Emoji'],Flag for Libya,"The flag forÂ Libya, which may show as the lettersÂ LYÂ on some platforms.",_Ÿ‡±_Ÿ‡_ Flag for Libya,[],http://emojipedia.org/flag-for-libya/
